StudyID,ArticleCounter,ExperimentCounter,No.,CoderID,ArticleID,StudyNo,StudyType,Experimental_Drug,Manipulation,EffectSizeID,Year,PublicationStatus,PublicationType,Journal,Title,Author,CorrespondenceEmail,DOI,ArticleSource,CountryofOrigin,Continent,SampleNo,SampleSize,Female,FemaleRatio,MeanAge,StudyDesign,IBASampleInfo,IBASampleRandomization,IBAInclusion,IBAExclusion,IBAManipulationInfo,IBADVInfo,IBABaselineTraumaHistory,IBADiaryCodingReliability,IBAAnalysisPlan,IBAPeerReviewed,IBATraumaManipulationCheck,TotalIBAScore,StatExtracted,ExperimentalCondition,Level1_ExperimentalCondition,Intrusion_Predicted_Direction,ComparisonCondition,Level1_ComparisonCondition,Level2_final,Level3_Type_final,Level3_Task_Instruction_final,ComparisonType,ExperimentalConditionSampleSize,ComparisonConditionSampleSize,StudySampleSize,TimeOfManipulation,TraumaInductionStimuli,EncodingTask,StimuliNo.,StimuliDuration,DependentVariables,DependentVariablesType,DVTask,ModeOfMeasurement,TimeOfMeasurement,MeasurementDuration,Intrusion_Retro_or_RealTime,Intrusion_Content,ManipulationBeneficial,ResultSummary,PhysioMeasures,ClinicalSymptomMeasures,VoluntaryMemoryMeasure,VoluntaryMemoryDirection,Experimental_Mean,Experimental_SE,Experimental_SD,Comparison_Mean,Comparison_SE,Comparison_SD,GroupDifference,T-test,Z-test,pvalue,EffectSize,EffectSizeType,Notes,Mo_Windy_Common,Notes_fromWindy,DirectionSign,DirectionSignMo,TraumaStimuliType,Physio_binary,Level3_Beh_Pharma_Neuro,Level3_Direct_Indirect,Level3_Imagery_Verbal_Emotion_Other,Level3_Task_Instruction
1,1,1,1,SZ,1,1,Behavioural,NA,Suppression,1,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional suppression,Emotional suppression,Decrease,No-regulation,No-Task,Emotional suppression,Direct Emotion,Instruction,No-Task,26,29,55,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Negative,4.5,,4.81,8.17,,10.9,-3.67,"F(1, 82) = 2.15",,0.12,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
1,,,2,SZ,1,1,Behavioural,NA,Suppression,2,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional suppression,Emotional suppression,Decrease,No-regulation,No-Task,Emotional suppression,Direct Emotion,Instruction,No-Task,17,27,44,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,NA,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Negative,21.24,,19.04,24.33,,20.37,-3.09,?F < 1,,Not provided,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
1,,,3,SZ,1,1,Behavioural,NA,Suppression,3,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional suppression,Emotional suppression,Decrease,No-regulation,No-Task,Emotional suppression,Direct Emotion,Instruction,No-Task,24,27,51,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,?Auditory stream of consciousness filler task,Lab-based intrusion monitoring task,Same day post trauma film,5min,Real Time,Image/Thought Combined,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Negative,1.58,,1.74,2.22,,0.39,-0.64,"F (2, 77) = 1.85",,0.17,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
1,,,4,SZ,1,1,Behavioural,NA,Acceptance,4,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional acceptance,Emotional acceptance,Increase,No-regulation,No-Task,Emotional acceptance,Direct Emotion,Instruction,No-Task,30,29,59,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Null,5.03,,3.44,8.17,,10.9,-3.14,"F(1, 82) = 2.15",,0.12,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
1,,,5,SZ,1,1,Behavioural,NA,Acceptance,5,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional acceptance,Emotional acceptance,Increase,No-regulation,No-Task,Emotional acceptance,Direct Emotion,Instruction,No-Task,28,27,55,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Intrusion diary,Intrusion diary,Same day post trauma film,7 days,Real Time,NA,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Null,23.74,,20.61,24.33,,20.37,-0.59,?F < 1,,Not provided,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
1,,,6,SZ,1,1,Behavioural,NA,Acceptance,6,2009,Published,Journal Article,Behaviour Research and Therapy ,The consequences of effortful emotion regulation when processing distressing material: A comparison of suppression and acceptance,"Dunn, B. D., Billotti, D., Murphy, V., & Dalgleish, T.",?barney.dunn@mrc-cbu.cam.ac.uk,?10.1016/J.BRAT.2009.05.007,Others,England,Europe,3,89,49,0.550561798,35.36,Between-subject,1,1,1,1,1,1,1,0,1,1,1,10,"page 770, Table4",Emotional acceptance,Emotional acceptance,Increase,No-regulation,No-Task,Emotional acceptance,Direct Emotion,Instruction,No-Task,29,27,56,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,?Auditory stream of consciousness filler task,Lab-based intrusion monitoring task,Same day post trauma film,5min,Real Time,Image/Thought Combined,Null,No group difference,"SCR, HR","Depression, Trait anxiety",Yes,Null,1.38,,1.29,2.22,,0.39,-0.84,"F (2, 77) = 1.85",,0.17,Not provided,Not provided,,0,,,,Film,Yes,Behavioural,Direct,Emotion,Instruction
2,1,1,7,MMV & SZ,2,1,Behavioural,NA,Visuospatial tapping task,7,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,51,48,0.941176471,20.2,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 8",Visuospatial tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,17,17,34,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Positive,Visuospatial tapping significantly reduced intrusions compared to control condition,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,2.23,Not Reported,2.92,4.94,Not Reported,4.29,-2.71,t(48) = 2.18,NA,0.04,0.63,Cohen's d,"Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info?",1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
2,,,8,MMV & SZ,2,1,Behavioural,NA,Dissociation task,8,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,51,48,0.941176471,20.2,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,"Table 1, page 8",Dissociation,Dissociation,Increase,No-task,No-Task,Dissociation,Indirect Other,Instruction,No-Task,17,17,34,Peri,Trauma film,Trauma film,5,12.5min,Intrusion Frequency,Involuntary memory,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,Dissociation and control condition didn't significantly differ in terms of intrusions.,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,5.53,Not Reported,3.48,4.94,Not Reported,4.29,0.59,t(48) = 0.48,NA,0.64,Not Reported,Not Reported,"Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info? I",1,,,,Film,Yes,Behavioural,Indirect,Other,Instruction
2,,,9,MMV & SZ,2,1,Behavioural,NA,Visuospatial tapping task,9,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,51,48,0.941176471,20.2,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Page 10,Visuospatial tapping,Finger tapping,Decrease,No-task,No-Task,Finger tapping,Indirect Imagery,Task,No-Task,17,17,34,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,Visuospatial tapping and control condition did not significantly differ in terms of intrusion distress,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,3.16,Not Reported,1.79,3.38,Not Reported,2.55,-0.22,Not Reported,NA,Not Reported,Not Reported,Not Reported,"Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info? Got stat info from the author via email",1,,,,Film,Yes,Behavioural,Indirect,Imagery,Task
2,,,10,MMV & SZ,2,1,Behavioural,NA,Dissociation task,10,2004,Published,Journal Article,Journal of Experimental Psychology: General,"Trauma Films, Information Processing, and Intrusive Memory Development ","Homes, E. A., Brewin, C. R., & Hennessy, R. G.",emily.holmes@mrc-cbu.cam.ac.uk,10.1037/0096-3445.133.1.3,Others,England,Europe,3,51,48,0.941176471,20.2,Between-subject,1,1,1,1,1,1,0,0,0,1,1,8,Page 10,Dissociation,Dissociation,Increase,No-task,No-Task,Dissociation,Indirect Other,Instruction,No-Task,17,17,34,Peri,Trauma film,Trauma film,5,12.5min,Mean Emotional Distress,Emotion,Tabular diary,Intrusion diary,Same day post trauma film,7 days,Real Time,Image/Thought Combined,Null,Dissociation and control condition did not significantly differ in terms of intrusion distress,Blood-flow optical sensor (Heart rate),State dissociation,Yes,Null,3.536,Not Reported,1.33,3.38,Not Reported,2.55,0.156,Not Reported,NA,Not Reported,Not Reported,Not Reported,"Number of female participants post screening not reported. Does the paper really have an analysis plan, formatting issue in 2004? Do we calculate SE on our own if its missing in the paper or mention Not reported? Do we need F test and Z test columns if all our comparisons rely on t-test values? In this study they didn't find difference between conditions on emotional distress associated with intrusions but they don't provide the t-test stats instead they provide the F-test value for all three conditions so how to code this info? Got stat info from the author via email",1,,,,Film,Yes,Behavioural,Indirect,Other,Instruction
